Demographic,Country,code,L1,L2,L3,Value,Date,Source
Total Population,LK,,,,,20263723,2012-03-20,Census
Total Population,LK,1,Western,,,5821710,2012-03-20,Census
Total Population,LK,11,Western,Colombo,,2309809,2012-03-20,Census
Total Population,LK,3,Western,Colombo,Colombo,318048,2012-03-20,Census
Total Population,LK,30,Western,Colombo,Dehiwala-Mt.Lavinia,87834,2012-03-20,Census
Total Population,LK,15,Western,Colombo,Hanwella,113477,2012-03-20,Census
Total Population,LK,12,Western,Colombo,Homogama,236179,2012-03-20,Census
Total Population,LK,11,Western,Colombo,Kaduwela,252057,2012-03-20,Census
Total Population,LK,36,Western,Colombo,Kesbewa,244062,2012-03-20,Census
Total Population,LK,6,Western,Colombo,Kolonnawa,190817,2012-03-20,Census
Total Population,LK,21,Western,Colombo,Maharagama,195355,2012-03-20,Census
Total Population,LK,33,Western,Colombo,Moratuwa,167160,2012-03-20,Census
Total Population,LK,18,Western,Colombo,Padukka,65167,2012-03-20,Census
Total Population,LK,31,Western,Colombo,Rathmalana,95162,2012-03-20,Census
Total Population,LK,24,Western,Colombo,Sri Jayawardanapura Kotte,107508,2012-03-20,Census
Total Population,LK,27,Western,Colombo,Thimbirigasyaya,236983,2012-03-20,Census
Total Population,LK,12,Western,Gampaha,,2294641,2012-03-20,Census
Total Population,LK,27,Western,Gampaha,Attanagalla,178816,2012-03-20,Census
Total Population,LK,39,Western,Gampaha,Biyagama,186862,2012-03-20,Census
Total Population,LK,9,Western,Gampaha,Divulapitiya,143871,2012-03-20,Census
Total Population,LK,30,Western,Gampaha,Dompe,153137,2012-03-20,Census
Total Population,LK,24,Western,Gampaha,Gampaha,196445,2012-03-20,Census
Total Population,LK,21,Western,Gampaha,Ja-Ela,201154,2012-03-20,Census
Total Population,LK,6,Western,Gampaha,Katana,233854,2012-03-20,Census
Total Population,LK,36,Western,Gampaha,Kelaniya,134693,2012-03-20,Census
Total Population,LK,33,Western,Gampaha,Mahara/Kadawatha,207230,2012-03-20,Census
Total Population,LK,15,Western,Gampaha,Minuwangoda,178401,2012-03-20,Census
Total Population,LK,12,Western,Gampaha,Mirigama,164166,2012-03-20,Census
Total Population,LK,3,Western,Gampaha,Negombo,141676,2012-03-20,Census
Total Population,LK,18,Western,Gampaha,Wattala,174336,2012-03-20,Census
Total Population,LK,13,Western,Kalutara,,1217260,2012-03-20,Census
Total Population,LK,33,Western,Kalutara,Agalawatta,36456,2012-03-20,Census
Total Population,LK,6,Western,Kalutara,Bandaragama,108889,2012-03-20,Census
Total Population,LK,24,Western,Kalutara,Beruwala,164507,2012-03-20,Census
Total Population,LK,12,Western,Kalutara,Bulathsinhala,64635,2012-03-20,Census
Total Population,LK,27,Western,Kalutara,Dodamgoda,63705,2012-03-20,Census
Total Population,LK,9,Western,Kalutara,Horana,112441,2012-03-20,Census
Total Population,LK,10,Western,Kalutara,Ingiriya,53645,2012-03-20,Census
Total Population,LK,21,Western,Kalutara,Kalutara,159225,2012-03-20,Census
Total Population,LK,15,Western,Kalutara,Madurawala,34245,2012-03-20,Census
Total Population,LK,30,Western,Kalutara,Mathugama,81064,2012-03-20,Census
Total Population,LK,18,Western,Kalutara,Millaniya,52078,2012-03-20,Census
Total Population,LK,36,Western,Kalutara,Palindanuwara (Baduraliya),50382,2012-03-20,Census
Total Population,LK,3,Western,Kalutara,Panadura,181724,2012-03-20,Census
Total Population,LK,39,Western,Kalutara,Walallavita,54264,2012-03-20,Census
Total Population,LK,2,Central,,,2558716,2012-03-20,Census
Total Population,LK,21,Central,Kandy,,1369899,2012-03-20,Census
Total Population,LK,9,Central,Kandy,Akurana,63195,2012-03-20,Census
Total Population,LK,48,Central,Kandy,Delthota,30169,2012-03-20,Census
Total Population,LK,42,Central,Kandy,Doluwa,49480,2012-03-20,Census
Total Population,LK,54,Central,Kandy,Ganga Ihala Korale,54674,2012-03-20,Census
Total Population,LK,33,Central,Kandy,Harispattuwa,88002,2012-03-20,Census
Total Population,LK,34,Central,Kandy,Hatharaliyadda,29866,2012-03-20,Census
Total Population,LK,30,Central,Kandy,Gangawata Korale,157330,2012-03-20,Census
Total Population,LK,27,Central,Kandy,Kundasale,127278,2012-03-20,Census
Total Population,LK,24,Central,Kandy,Medadumbara,60783,2012-03-20,Census
Total Population,LK,21,Central,Kandy,Minipe,51577,2012-03-20,Census
Total Population,LK,15,Central,Kandy,Panwila,26186,2012-03-20,Census
Total Population,LK,57,Central,Kandy,Pasbage Korale,59662,2012-03-20,Census
Total Population,LK,12,Central,Kandy,Pathadumbara,88599,2012-03-20,Census
Total Population,LK,45,Central,Kandy,Pathahewaheta,58031,2012-03-20,Census
Total Population,LK,6,Central,Kandy,Poojapitiya,57879,2012-03-20,Census
Total Population,LK,3,Central,Kandy,Thumpane,37356,2012-03-20,Census
Total Population,LK,18,Central,Kandy,Udadumbara,22408,2012-03-20,Census
Total Population,LK,51,Central,Kandy,Udapalatha,91230,2012-03-20,Census
Total Population,LK,39,Central,Kandy,Udunuwara,110232,2012-03-20,Census
Total Population,LK,36,Central,Kandy,Yatinuwara,105962,2012-03-20,Census
Total Population,LK,22,Central,Matale,,482229,2012-03-20,Census
Total Population,LK,21,Central,Matale,Ambaganga Koralaya,15567,2012-03-20,Census
