Series,Body,Country,L1X,L2X,L3X,L4,Comments,AuthorX,Date,AttachmentX,EventsX,Expired
Plan,Oxfam Emergency Preparedness Plan,LK,Viqueque,Watulari,Macadique,,,jose.soares@oxfam.org.tl,5/10/12,,Cyclone Simone,Y
Training Material,Community Based Disaster Risk Management Training Modules,LK,Oecusse,Pante Macasar,Lalisuc,,,eduardo.dossantos@tl.mercycorps.org,15/10/12,,Cyclone Simone,Y
Alert,Heavy rains expected over the next 3 days. Notify communities that there could be some flooding.,LK,Manufahi,Same,Letefoho,,,liliana.otilia@mss.gov.tl,25/10/12,,Cyclone Simone,Y
Report,VCA Report,LK,Manatuto,Laclubar,Fatumaquerec,,,adriana.macedo@redcross.tl,5/11/12,,Cyclone Simone,Y
Training Material,Hygiene Promotion Training Workbook,LK,Aileu,Liquidoe,Bereleu,,,jose.soares@oxfam.org.tl,15/11/12,,Cyclone Simone,Y
Incident,Landslides have closed the main road,LK,Covalima,Suai,Camenasa,,,jose.soares@oxfam.org.tl,15/01/13,http://tldrmp.aidiq.com/eden/static/prepop/Doc5.doc,Cyclone Simone,Y
Assessment,Bairro Pite Assessment,LK,Dili,Dom Aleixo,Bairro Pite,,,adriana.macedo@redcross.tl,25/01/13,http://tldrmp.aidiq.com/eden/static/prepop/Doc1.doc,Cyclone Simone,Y
Alert,More rains expected. Floods could become more severe,LK,Ermera,Hatolia,Railaco,,,liliana.otilia@mss.gov.tl,5/02/13,http://tldrmp.aidiq.com/eden/static/prepop/Doc2.doc,Cyclone Simone,Y
Incident,Outbreak of Cholera,LK,Lautém,Lospalos,Fuiloro,,,eduardo.dossantos@tl.mercycorps.org,15/02/13,,Cyclone Simone,Y
Report,Situational Report,LK,Liquiçá,Bazartete,Fatumasi,,,jose.soares@oxfam.org.tl,25/02/13,,Cyclone Simone,Y
Plan,Mercy Corp Preparedness Plan,LK,Aileu,Aileu Vila,Aisirimou,,,jose.soares@oxfam.org.tl,2/10/11,,,N
Plan,Mercy Corp Preparedness Plan,LK,Aileu,Aileu Vila,Bandudato,,,eduardo.dossantos@tl.mercycorps.org,22/02/12,,,N
Plan,National Preparedness Plan,LK,Aileu,Aileu Vila,Fahiria,,,liliana.otilia@mss.gov.tl,1/01/13,,,N
Plan,Red Cross Preparedness Plan,LK,Aileu,Aileu Vila,Fatubosa,,,adriana.macedo@redcross.tl,8/08/10,,,N
Plan,Community Contingency Plan,LK,Aileu,Aileu Vila,Hoholau,,,jose.soares@oxfam.org.tl,12/12/09,,,N
Training Material,DRR Mainstreaming Training Module,LK,,,,,,eduardo.dossantos@tl.mercycorps.org,22/06/13,,,N
Training Material,First Aid Module,LK,Aileu,Aileu Vila,Lahae,,,adriana.macedo@redcross.tl,2/10/11,,,N
Training Material,Better Building Practices Manual,LK,Aileu,Aileu Vila,Lausi,,,eduardo.dossantos@tl.mercycorps.org,22/02/12,,,N
Training Material,WASH Handbook,LK,Aileu,Aileu Vila,Saboria,,,jose.soares@oxfam.org.tl,1/01/13,,,N
Training Material,SPHERE Guidelines,LK,Aileu,Aileu Vila,Seloi Craic,,,adriana.macedo@redcross.tl,8/08/10,,,N
Training Material,CBDRM Module,LK,Aileu,Aileu Vila,Seloi Malere,,,liliana.otilia@mss.gov.tl,12/12/09,,,N
Alert,Heavy Rains Due,LK,Aileu,Aileu Vila,Suco Liurai,,,liliana.otilia@mss.gov.tl,15/04/10,,Flood Manufahi,N
Alert,Heavy Flooding in Area,LK,Ainaro,Ainaro,Ainaro,,,liliana.otilia@mss.gov.tl,10/04/10,,Flood Manufahi,N
Alert,More rain expected,LK,Ainaro,Ainaro,Cassa,,,liliana.otilia@mss.gov.tl,20/04/10,,Flood Manufahi,N
Alert,High winds,LK,Ainaro,Ainaro,Manutasi,,,liliana.otilia@mss.gov.tl,1/05/10,,Flood Manufahi,N
Alert,More rain expected,LK,Ainaro,Ainaro,Mau-Nuno,,,liliana.otilia@mss.gov.tl,5/05/10,,Flood Manufahi,N
Report,Situational Report,LK,Ainaro,Ainaro,Mau-Ulo,,,adriana.macedo@redcross.tl,15/04/10,,Flood Manufahi,N
Report,Situational Report,LK,Ainaro,Ainaro,Soro,,,jose.soares@oxfam.org.tl,10/04/10,,Flood Manufahi,N
Report,Situational Report,LK,Ainaro,Ainaro,Suro-Craic,,,adriana.macedo@redcross.tl,20/04/10,,Flood Manufahi,N
Report,Situational Report,LK,Manufahi,Alas,Aituha,,,eduardo.dossantos@tl.mercycorps.org,1/05/10,,Flood Manufahi,N
Report,Situational Report,LK,Manufahi,Alas,Dotic,,,jose.soares@oxfam.org.tl,5/05/10,,Flood Manufahi,N
Report,Situational Report,LK,Manufahi,Alas,Mahaquidan,,,adriana.macedo@redcross.tl,15/04/10,,Flood Manufahi,N
Report,Situational Report,LK,Manufahi,Alas,Taitudac,,,liliana.otilia@mss.gov.tl,10/04/10,,Flood Manufahi,N
Report,Situational Report,LK,Manufahi,Alas,Uma Berloic,,,eduardo.dossantos@tl.mercycorps.org,20/04/10,,Flood Manufahi,N
Report,Situational Report,LK,Bobonaro,Atabae,Aidabaleten,,,jose.soares@oxfam.org.tl,1/05/10,,Flood Manufahi,N
Report,Situational Report,LK,Bobonaro,Atabae,Atabae,,,jose.soares@oxfam.org.tl,5/05/10,,Flood Manufahi,N
Report,Situational Report,LK,Bobonaro,Atabae,Hataz,,,eduardo.dossantos@tl.mercycorps.org,15/04/10,,Flood Manufahi,N
Report,Flood Manufahi Lessons Learnt,LK,Bobonaro,Atabae,Rairobo,,,liliana.otilia@mss.gov.tl,10/07/10,,Flood Manufahi,N
