Series,Body,Country,L1,L2,L3,L4,Comments,Author,Date,Attachment,Events,Expired
Plan,OxfamEmergency Preparedness Plan,TL,Viqueque,Watulari,Macadique,,,jose.soares@oxfam.org.tl,2012-10-05,,Cyclone Simone,Y
Training Material,Community Based Disaster Risk Management Training Modules,TL,Oecusse,Pante Macasar,Lalisuc,,,eduardo.dossantos@tl.mercycorps.org,2012-10-15,,Cyclone Simone,Y
Alert,Heavy rains expected over the next 3 days. Notify communities that there could be some flooding.,TL,Manufahi,Same,Letefoho,,,liliana.otilia@mss.gov.tl,2012-10-25,,Cyclone Simone,Y
Report,VCA Report,TL,Manatuto,Laclubar,Fatumaquerec,,,adriana.macedo@redcross.tl,2012-11-05,,Cyclone Simone,Y
Training Material,Hygiene Promotion Training Workbook,TL,Aileu,Liquidoe,Bereleu,,,jose.soares@oxfam.org.tl,2012-11-15,,Cyclone Simone,Y
Activity,VCA,TL,Ainaro,Hatu-Udo,Leolima,,,adriana.macedo@redcross.tl,2012-12-05,,Cyclone Simone,Y
Activity,Distribution of NFIs,TL,Bobonaro,Cailaco,Purugoa,,,eduardo.dossantos@tl.mercycorps.org,2013-01-05,http://tldrmp.aidiq.com/eden/static/prepop/Doc4.doc,Cyclone Simone,Y
Incident,Landslides have closed the main road,TL,Covalima,Suai,Camenasa,,,jose.soares@oxfam.org.tl,2013-01-15,http://tldrmp.aidiq.com/eden/static/prepop/Doc5.doc,Cyclone Simone,Y
Assessment,Bairro Pite Assessment,TL,Dili,Dom Aleixo,Bairro Pite,,,adriana.macedo@redcross.tl,2013-01-25,http://tldrmp.aidiq.com/eden/static/prepop/Doc1.doc,Cyclone Simone,Y
Alert,More rains expected. Floods could become more severe,TL,Ermera,Hatolia,Railaco,,,liliana.otilia@mss.gov.tl,2013-02-05,http://tldrmp.aidiq.com/eden/static/prepop/Doc2.doc,Cyclone Simone,Y
Incident,Outbreak of Cholera,TL,Lautém,Lospalos,Fuiloro,,,eduardo.dossantos@tl.mercycorps.org,2013-02-15,,Cyclone Simone,Y
Report,Situational Report,TL,Liquiçá,Bazartete,Fatumasi,,,jose.soares@oxfam.org.tl,2013-02-25,,Cyclone Simone,Y
Plan,Mercy Corp Preparedness Plan,TL,Aileu,Aileu Vila,Aisirimou,,,jose.soares@oxfam.org.tl,2011-10-02,,,N
Plan,Mercy Corp Preparedness Plan,TL,Aileu,Aileu Vila,Bandudato,,,eduardo.dossantos@tl.mercycorps.org,2012-02-22,,,N
Plan,National Preparedness Plan,TL,Aileu,Aileu Vila,Fahiria,,,liliana.otilia@mss.gov.tl,2013-01-01,,,N
Plan,Red Cross Preparedness Plan,TL,Aileu,Aileu Vila,Fatubosa,,,adriana.macedo@redcross.tl,2010-08-08,,,N
Plan,Community Contingency Plan,TL,Aileu,Aileu Vila,Hoholau,,,jose.soares@oxfam.org.tl,2009-12-12,,,N
Training Material,DRR Mainstreaming Training Module,TL,,,,,,eduardo.dossantos@tl.mercycorps.org,2013-06-22,,,N
Training Material,First Aid Module,TL,Aileu,Aileu Vila,Lahae,,,adriana.macedo@redcross.tl,2011-10-02,,,N
Training Material,Better Building Practices Manual,TL,Aileu,Aileu Vila,Lausi,,,eduardo.dossantos@tl.mercycorps.org,2012-02-22,,,N
Training Material,WASH Handbook,TL,Aileu,Aileu Vila,Saboria,,,jose.soares@oxfam.org.tl,2013-01-01,,,N
Training Material,SPHERE Guidelines,TL,Aileu,Aileu Vila,Seloi Craic,,,adriana.macedo@redcross.tl,2010-08-08,,,N
Training Material,CBDRM Module,TL,Aileu,Aileu Vila,Seloi Malere,,,liliana.otilia@mss.gov.tl,2009-12-12,,,N
Alert,Heavy Rains Due,TL,Aileu,Aileu Vila,Suco Liurai,,,liliana.otilia@mss.gov.tl,2010-04-15,,Flood Manufahi,N
Alert,Heavy Flooding in Area,TL,Ainaro,Ainaro,Ainaro,,,liliana.otilia@mss.gov.tl,2010-04-10,,Flood Manufahi,N
Alert,More rain expected,TL,Ainaro,Ainaro,Cassa,,,liliana.otilia@mss.gov.tl,2010-04-20,,Flood Manufahi,N
Alert,High winds,TL,Ainaro,Ainaro,Manutasi,,,liliana.otilia@mss.gov.tl,2010-05-01,,Flood Manufahi,N
Alert,More rain expected,TL,Ainaro,Ainaro,Mau-Nuno,,,liliana.otilia@mss.gov.tl,2010-05-05,,Flood Manufahi,N
Report,Situational Report,TL,Ainaro,Ainaro,Mau-Ulo,,,adriana.macedo@redcross.tl,2010-04-15,,Flood Manufahi,N
Report,Situational Report,TL,Ainaro,Ainaro,Soro,,,jose.soares@oxfam.org.tl,2010-04-10,,Flood Manufahi,N
Report,Situational Report,TL,Ainaro,Ainaro,Suro-Craic,,,adriana.macedo@redcross.tl,2010-04-20,,Flood Manufahi,N
Report,Situational Report,TL,Manufahi,Alas,Aituha,,,eduardo.dossantos@tl.mercycorps.org,2010-05-01,,Flood Manufahi,N
