Identifier,Language,Category,Event Type,Response Type,Audience,Sender Name,Headline,Description,Instruction,Contact,Parameters
MaldivesMeteorology-2.49.0.0.462.0-20150908-013-alert,en-US,"Infra, Other",Drought,Prepare,,National Disaster Management Center,"Sever drought condistion have caused a Water Shortage in AREAS,Maldivian Councils in AREAS have informed of severe drought conditions. Each Council requires, on average",XXX Tons of drinking water. As of DATE they are at NUMBER Percent capacity. It is estimated that they will require NUMBER Tons of water over the next NUMBER days. Recipients of this message are advised to respond to the crisis.,Drinking Water is for cooking and drinking.Respond to crisis implies activating your emergency response plans,115,
MaldivesMeteorology-2.49.0.0.462.0-20150909-016-alert,en-US,"Rescue, Transport",Earthquake,Evacuate,,Maldives Meterological Service,Earthquake Warninig,Earth quake the MAGNITUDE and it create a  NUMBER of wave,Warning Take shelter,,
MaldivesMeteorology-2.49.0.0.462.0-20150909-016-alert,dv,"Rescue, Transport",Earthquake,Evacuate,ޖެނެރަލް ޕްބްލިކް، މީޑިއާ,މޯލްޑިވްސް މީޓިއޮރޮލޮޖިކަލް ސަރވިސް,ސުނާމީގެ އިންޒާރު ވަރަށް ބޮޑަށް ސީރިއަސް ކަމާއެކު މިކަންތައް ނަގައި,ހެޔޮނުވާނެ ވީހާވެސް އަވަހަށް އެންމެ ކައިރި ހުރި ކަނޑއެޅިފައިވާ އީއޯސީ އަށް ވަޑައިގަންނަވާ. އާދޭސް ކޮށްފައި މި ބުނަނީ.,"1 White, Mean wind speed is expected or prevail between 20-30 mph Rainfall  of more than 50mm is expected to occur within 24 hours High tidal waves are expected, Weather information, but no immediate threat.",,
MaldivesMeteorology-2.49.0.0.462.0-20150910-018-alert,dv,Met,Flood,None,,ނެޝެނަލް ޑިސާސްޓަރ މެނޭޖްމަންޓް ސެންޓަރ,ވާރޭވެހި ފެންބޮޑުވެދާނެ,,,,
PHIVOLS-DOST-2.49.0.0.608.0-20150908-019-alert,en-US,Geo,Tsunami,None,,phivolcs.dost.gov.ph,Tsunami Alert 0: For your information only,No tsunami threat to the Philippines.,for information only,632 426-1468 PHIVOLCS,"""tsunami-wave-height-meter"":""NUMBER"""
PHIVOLS-DOST-2.49.0.0.608.0-20150908-021-alert,en-US,Geo,Tsunami,Avoid,,Philippine Institute of Volcanology and Seismology (PHIVOLCS),Non destructive tsunami occurence,An earthquake with non destructive tsunami,No evacuation needed to coastal area listed below.  Houses situated offshore should moved to higher ground.,632 426 1468 PHIVOLCS DOST,
PHIVOLS-DOST-2.49.0.0.608.0-20150908-035-alert,en-US,Geo,Volcano,"Evacuate, Execute, Avoid",Residence near and around the Mt Mayon Volcano.,Philippine Institute of Volcanology and Seismology (PHIVOLCS),Alert level 5: Eruptions ongoing,additional danger areas will be announce as eruptions continues.,no people allowed inside the 6 km permanent danger zone and and within the additional areas declared unsafe. evacuation plan shall be implemented by local officials in the areas.,632] 426 1468 PHIVOLCS - DOST,
PHIVOLS-DOST-2.49.0.0.608.0-20150910-045-alert,en-US,Geo,Tsunami,"Assess, AllClear",Public,Philippine Institute of Volcanology and Seismology (PHIVOLCS),Tsunami alert cancellation,All tsunami alert in effect in Philippines is now being cancelled .,Local conditions may varies and instruction from local officials should be heed and followed.,632] 426 1468,
PHIVOLS-DOST-2.49.0.0.608.0-20150908-020-alert,en-US,Met,Flood,Prepare,,PAGASA-DOST,General Flood Advisory (SEVERITY) in effect for AREA_NAME,WEATHER_CONDITION. The 24 hour rainfall forecast is Light to moderate rains and isolated thunderstorms. Water courses likely to be affected : + RIVER_PLACE - Rivers and its tributaries particularly PLACES - Rivers and its tributaries particularly PARTICULAR-PLACES,People living near the mountain slopes and in the low lying areas of the above mentioned river systems and the **Local Disaster Risk Reduction and Management Councils** concerned are advised to take neccessary precautionary measures.,643-FLOOD,"""layer:Google:Region:0.1"":""REGION_NUMBER"""
PHIVOLS-DOST-2.49.0.0.608.0-20150908-020-alert,tl,Met,Flood,Prepare,,PAGASA-DOST,General Flood Bulletin ( SEVERITY ) na pinapairal para sa AREA_NAME,Madag-umon na kalangitan inubanan sa hinay ngadto sa kasarangan na mga pag-ulan og pagpanugdog og kilat ang masinati sa Probinsya sa Leyte. Katag-katag na pagpanag-um ngadto sa madag-umon na kalangitan inubanan sa pat-ak pat-ak na mga pag-ulan o pagpanugdog og kilat ang,Madag-umon na kalangitan inubanan sa hinay ngadto sa kasarangan na mga pag-ulan og pagpanugdog og kilat ang masinati sa Probinsya sa Leyte. Katag-katag na pagpanag-um ngadto sa madag-umon na kalangitan inubanan sa pat-ak pat-ak na mga pag-ulan o pagpanugdog og kilat ang,643-FLOOD,"""layer:Google:Region:0.1"":""REGION_NUMBER"""
