"uid","role","description","controller","function","table","entity","uacl","oacl","hidden","system","protected","Notes"
"AUTHENTICATED","Authenticated",,"default","person",,,"READ|CREATE|UPDATE",,,,,
"AUTHENTICATED","Authenticated",,"default","person","gis_location",,"READ|CREATE|UPDATE",,,,,
"AUTHENTICATED","Authenticated",,"default","person","pr_saved_search",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,"cms","post",,,"READ|CREATE","READ|CREATE|UPDATE|DELETE",,,,
"AUTHENTICATED","Authenticated",,"gis","index",,,"READ",,,,,
"AUTHENTICATED","Authenticated",,"gis","location",,,"READ",,,,,
"AUTHENTICATED","Authenticated",,"org","organisation",,,"READ|CREATE","READ|CREATE|UPDATE|DELETE",,,,
"AUTHENTICATED","Authenticated",,"pr","contact",,,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,"pr","contact_emergency",,,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"gis_config",,"READ|CREATE","READ|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_bing",,"READ",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_coordinate",,"READ",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_empty",,"READ",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_feature",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_geojson",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_georss",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_google",,"READ",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_gpx",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_kml",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_openstretmap",,"READ",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_theme",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_tms",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_wfs",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_wms",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"gis_layer_xyz",,"READ|CREATE",,,,,
"AUTHENTICATED","Authenticated",,,,"hrm_human_resource",,,"READ",,,,
"AUTHENTICATED","Authenticated",,,,"hrm_training",,,"READ",,,,
"AUTHENTICATED","Authenticated",,,,"pr_address",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_contact",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_contact_emergency",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_education",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_group_membership",,,"READ",,,,
"AUTHENTICATED","Authenticated",,,,"pr_identity",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_image",,,"READ|CREATE|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_person",,,"READ|UPDATE",,,,
"AUTHENTICATED","Authenticated",,,,"pr_physical_description",,,"READ|CREATE|UPDATE",,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_arcrest",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_bing",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_coordinate",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_empty",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_feature",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_geojson",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_georss",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_google",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_gpx",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_kml",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_mgrs",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_openstretmap",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_theme",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_tms",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_wfs",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_wms",,"ALL",,,,,
"MAP_ADMIN","Map Admin",,,,"gis_layer_xyz",,"ALL",,,,,
