Name,Description,Controller,Function,Symbology,Marker,GPS Marker,Popup Label,Popup Fields,Attributes,Filter,Polygons,Style,Folder,Visible,Enabled,Cluster Distance,Cluster Threshold
"Locations","All Active Facilities",org,facility,US,office,Building,Location,"name,organisation_id",,"~.obsolete=False",,,,False,,
"Population","2010 Census",stats,demographic_data,,,,,"value,location_id","value","~.parameter_id$name=Population",True,"[{'low':0,'high':4,'label':'0-4','fill':'FEFBDA','fillOpacity':0.5},{'low':5,'high':9,'label':'5-9','fill':'FDF15B','fillOpacity':0.5},{'low':10,'high':17,'label':'10-17','fill':'FBCB0D','fillOpacity':0.5},{'low':18,'high':29,'label':'18-29','fill':'F27621','fillOpacity':0.5},{'low':30,'high':48,'label':'30-48','fill':'F93013','fillOpacity':0.5},{'low':49,'high':86,'label':'49-86','fill':'B61014','fillOpacity':0.5},{'low':87,'high':20000,'label':'87-20,000','fill':'801122','fillOpacity':0.5}]",Demographics,False,,1,3
"Population unused","2010 Census from Aggregates - slower performance but allows us to have data for multiple years",stats,demographic_aggregate,,,,,"sum,location_id","sum","~.agg_type=3&~.end_date=None&~.parameter_id$name=Population",True,"[{'prop':'sum','low':0,'high':4,'label':'0-4','fill':'FEFBDA','fillOpacity':0.5},{'prop':'sum','low':5,'high':9,'label':'5-9','fill':'FDF15B','fillOpacity':0.5},{'prop':'sum','low':10,'high':17,'label':'10-17','fill':'FBCB0D','fillOpacity':0.5},{'prop':'sum','low':18,'high':29,'label':'18-29','fill':'F27621','fillOpacity':0.5},{'prop':'sum','low':30,'high':48,'label':'30-48','fill':'F93013','fillOpacity':0.5},{'prop':'sum','low':49,'high':86,'label':'49-86','fill':'B61014','fillOpacity':0.5},{'prop':'sum','low':87,'high':20000,'label':'87-20,000','fill':'801122','fillOpacity':0.5}]",Demographics,False,False,1,3
"Owner-occupied","Percentage of Population in Owner-occupied: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Owner-occupied",True,"[{'prop':'percentage','low':80,'high':1,'label':'80% - 100% Owner Occupied','fill':'E2B797','fillOpacity':0.5},{'prop':'percentage','low':60,'high':79.999,'label':'60% - 80% Owner Occupied','fill':'F8DDA9','fillOpacity':0.5},{'prop':'percentage','low':40,'high':59.999,'label':'Mixed Renter/Owner Occupied','fill':'FFFFA3','fillOpacity':0.5},{'prop':'percentage','low':20,'high':39.999,'label':'60% - 80% Renter Occupied','fill':'C7DF83','fillOpacity':0.5},{'prop':'percentage','low':0,'high':19.999,'label':'80% - 100% Renter Occupied','fill':'94B685','fillOpacity':0.5}]",Demographics,False,,1,3
"White","Percentage of Population that is White: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=White",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Black or African American","Percentage of Population that is Black or African American: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Black or African American",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"American Indian and Alaska Native","Percentage of Population that is American Indian and Alaska Native: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=American Indian and Alaska Native",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Asian Indian","Percentage of Population that is Asian Indian: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Asian Indian",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Chinese","Percentage of Population that is Chinese: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Chinese",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Filipino","Percentage of Population that is Filipino: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Filipino",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Japanese","Percentage of Population that is Japanese: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Japanese",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Korean","Percentage of Population that is Korean: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Korean",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Vietnamese","Percentage of Population that is Vietnamese: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Vietnamese",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Other Asian","Percentage of Population that is Other Asian: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Other Asian",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Native Hawaiian","Percentage of Population that is Native Hawaiian: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Native Hawaiian",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Guamanian or Chamorro","Percentage of Population that is Guamanian or Chamorro: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Guamanian or Chamorro",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Samoan","Percentage of Population that is Samoan: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Samoan",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Other Pacific Islander","Percentage of Population that is Other Pacific Islander: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Other Pacific Islander",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
"Some Other Race","Percentage of Population that is Some Other Race: 2010 Census",stats,demographic_aggregate,,,,,"percentage,location_id,sum","percentage","~.agg_type=3&~.end_date=None&~.parameter_id$name=Some Other Race",True,"[{'prop':'percentage','low':0,'high':0.099,'label':'Less than 0.1%','fill':'FFFFFF','fillOpacity':0.5},{'prop':'percentage','low':0.1,'high':0.999,'label':'0.1% to 0.9%','fill':'F8E2BE','fillOpacity':0.5},{'prop':'percentage','low':1,'high':2.499,'label':'1.0% to 2.5%','fill':'E7A614','fillOpacity':0.5},{'prop':'percentage','low':2.5,'high':100,'label':'More than 2.5%','fill':'990000','fillOpacity':0.5}]",Ethnicity,False,,1,3
