UUID,Country,L1,L2,L3,L4,L5,Edit L1
SITE_DEFAULT,,"State / Province","County / District","City / Town / Village","Village / Suburb",,
,AF,Province,District,Village,,,
,AL,County,District,Municipality,,,
,AM,Province,Community,Settlement,,,
,AR,Province,Department,Municipality,
,AS,District,County,Village,,,
,AT,State,"District / City",Municipality,
,AU,"State / Territory",Local Government Area,,,,
,AZ,Economic Region,"District (Rayon)",,,,
,BA,"District / Entity",Canton,Municipality,,,
,BD,Division,District,"Thana / Upazil","Village / Union / Area",,
,BE,Region,Province,Arrondissement,Commune,
,BG,Province,Municipality,,,
,BI,Province,Commune,Colline,Sous Colline,
,BN,District,Mukim,,
,BO,Department,Province,Municipality,Canton
,BZ,District,,,
,CF,Prefecture,Sub-Prefecture,Commune,,
,CK,Island Council,Village Committee,,,
,CL,Region,Province,Commune,,
,CM,Region,Division,Sub-Division,Village,
,CO,Department,Municipality,Corregimiento,
,CR,Province,Canton,District,
,CU,Province,Municipality,
,DE,"Federal State","Rural District / District","Town / Municipality",Village,
,DO,Province,Municipality,,,,
,EC,Province,Canton,Parish,,,
,FI,Regional State Administrative Agency,Region,Sub-region,Municipality,,
,FJ,Division,Province,District,,,,
,GE,"Region / Republic",District,,,,
,GN,Region,Prefecture,Sub-prefecture,,,
,GR,Decentralized Administration,Region,Regional Unit,Municipality,,
,GT,Department,Municipality,
,HN,Department,Municipality,Village,,,
,HR,County,"Town / Municipality",,,,
,HT,Department,Commune,Communal section,,
,HU,County,District,,,,
,ID,Province,"Regency / City",District,Administrative Village,,
,IN,State,District,Subdistrict,,,
,IQ,Province,District,,,,
,IT,Region,Province,Commune,,,
,KE,County,Constituency,Location,SubLocation,
,KG,"Oblast / State City","District (Rayon) / Oblast City","Town / Village Group",Village,,
,KH,Province,District,Commune,Village,
,KI,Island Council,,,,
,KZ,Province,District,,,,
,LA,Province,District,Village,,,
,LK,Province,District,Divisional Secretariat,Grama Niladhari,,
,LR,County,District,Clan,,,
,LT,County,Municipality,Eldership,,,
,LY,District,"City / Town / Village",,,,
,MG,Region,District,Commune,Fokontany,
,MK,Municipality,,,,
,MM,State,District,Township,Village Tract,Village,
,MN,Province,District,Subdistrict,,,
,MP,Municipality,Village,,,,
,MV,"Atoll/City",Island,,,,
,MX,State,Municipality,
,MY,State,District,Mukim,,,
,NI,Department,Municipality,
,NP,Region,Zone,District,Village Development Committee,Ward,
,NZ,Region,Territorial Authority,,,,
,PA,Province,District,Corregimiento,,
,PE,Region,Province,District,,
,PG,Province,District,LLG,Village,,
,PH,Region,Province,"City / Municipality",Barangay,,
,PK,Province,District,Tehsil,Union Council,Village,
,PY,Department,District,"City / Town / Village",,,
,RS,District,"Municipality / City",,,,
,SB,Province,Ward,,
,SE,County,Municipality,,,,
,SG,Region,,,
,SL,Province,District,Chiefdom,,,
,SV,Department,Municipality,
,TD,Region,Department,Sub-Prefecture,Canton,
,TH,Province,District,Subdistrict,,,
,TJ,Province,District,Jamoat,Village,,
,TL,District,SubDistrict,Suco,Aldeia,,
,TM,Province,District,,,,
,TO,Island Group,District,,,,
,TR,City,Town,District,,,
,TV,Island Council,,,,
,PR,Municipality,Barrio,,,,
,US,State,County,City,Neighborhood,,False
,UZ,Province,District,,,,
,VU,Province,Area Council,,
,VN,Province,District,Commune,,,
,XK,District,Municipality,,,,
