uid,role,description,controller,function,table,uacl,oacl,hidden,system,protected,Notes
AUTHENTICATED,Authenticated,,gis,,,READ,READ|CREATE|UPDATE|DELETE,,,,Authenticated users can see the Map
AUTHENTICATED,Authenticated,,gis,location,,READ|CREATE,READ|CREATE|UPDATE|DELETE,,,,"Note the owning role for locations is set to Authenticated by default, so this controls the access that logged in users have. (In general, tables do not have a default owning role.)"
AUTHENTICATED,Authenticated,,pr,,,READ|UPDATE,,,,,Authenticated users can only see/edit their own PR records
AUTHENTICATED,Authenticated,,,,pr_person,READ|UPDATE,,,,,Authenticated users can only see/edit their own PR records
AUTHENTICATED,Authenticated,,pr,person,,CREATE,READ|UPDATE,,,,But need to be able to add/edit addresses
AUTHENTICATED,Authenticated,,pr,pentity,,READ,,,,,Custom Controller to allow access to PR via JSON for AutoComplete
AUTHENTICATED,Authenticated,,pr,person_search,,READ,,,,,Custom Controller to allow access to PR via JSON for AutoComplete
AUTHENTICATED,Authenticated,,msg,search,,READ,,,,,Custom Controller to allow access to PR via JSON for AutoComplete
AUTHENTICATED,Authenticated,,supply,,,READ|CREATE,,,,,Authenticated  users can see the Supply Catalogue
AUTHENTICATED,Authenticated,,hrm,,,READ|UPDATE,,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,hrm,person,,,READ|UPDATE,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,hrm,staff,,,,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
AUTHENTICATED,Authenticated,,hrm,volunteer,,,,,,,"HRM access is controlled to just HR Staff, except for access to your own record - requires security policy 4+"
SECURITY,Security,,security,person,,CREATE|READ,,,,,
SECURITY,Security,,,,pr_person,READ,,,,,
SECURITY,Security,,,,dvr_case_activity,CREATE,CREATE|READ,,,,
MEDICAL,Medical,,cr,,,READ,,,,,
MEDICAL,Medical,,dvr,,,CREATE|READ|UPDATE,,,,,
MEDICAL,Medical,,inv,,,READ,,,,,
MEDICAL,Medical,,,,dvr_case_activity,CREATE|READ,,,,,
MEDICAL,Medical,,project,,,CREATE|READ|UPDATE,CREATE|READ|UPDATE|DELETE,,,,
INFO_POINT,Info Point,,cr,,,READ,,,,,
INFO_POINT,Info Point,,dvr,,,READ,,,,,
INFO_POINT,Info Point,,inv,,,READ,,,,,
INFO_POINT,Info Point,,,,dvr_case_activity,CREATE,CREATE|READ,,,,
INFO_POINT,Info Point,,project,,,CREATE|READ|UPDATE,CREATE|READ|UPDATE|DELETE,,,,
ADMINISTRATION,Administration,,cr,,,ALL,,,,,
ADMINISTRATION,Administration,,dvr,,,ALL,,,,,
ADMINISTRATION,Administration,,inv,,,ALL,,,,,
ADMINISTRATION,Administration,,,,dvr_case_activity,CREATE|READ,,,,,
ADMINISTRATION,Administration,,project,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,cr,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,dvr,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,inv,,,ALL,,,,,
ADMIN_HEAD,Head of Administration,,,,dvr_case_activity,CREATE|READ,,,,,
ADMIN_HEAD,Head of Administration,,project,,,ALL,,,,,
