Name,Description,Controller,Function,Symbology,Marker,GPS Marker,Popup Label,Popup Fields,Filter,Site,Trackable,Style,Folder,Visible,Enabled
Airports,All Active Airports,transport,airport,US,airport,Airport,Airport,name,~.obsolete=False,,,,,False,
Heliports,All Active Heliports,transport,heliport,US,helicopter,Heliport,Heliport,name,~.obsolete=False,,,,,False,
Hospitals,All Active Medical Facilities,hms,hospital,US,hospital,Medical Facility,Hospital,name,~.obsolete=False,,,,,False,
Incident Reports,,irs,ireport,US,incident,Danger Area,Incident,"name,category",,,,,,False,
Offices,All Active Offices,org,office,US,office,Building,Office,"name,organisation_id",~.obsolete=False,,,,,False,
PoIs,,gis,poi,,,,PoI,name,poi_type_id,,,"[{'prop':'poi_type_id','cat':'Activity Coordinated Assessment','externalGraphic':'img/markers/OCHA/activity_coordinated_assessment_40px.png'},{'prop':'poi_type_id','cat':'Activity Financing','externalGraphic':'img/markers/OCHA/activity_financing_40px.png'},{'prop':'poi_type_id','cat':'Activity Information Technology','externalGraphic':'img/markers/OCHA/activity_information_technology_40px.png'},{'prop':'poi_type_id','cat':'Activity Public Information','externalGraphic':'img/markers/OCHA/activity_public_information_40px.png'},{'prop':'poi_type_id','cat':'Activity Reporting','externalGraphic':'img/markers/OCHA/activity_reporting_40px.png'},{'prop':'poi_type_id','cat':'Activity Training','externalGraphic':'img/markers/OCHA/activity_training_40px.png'},{'prop':'poi_type_id','cat':'Camp IDP Refugee Camp','externalGraphic':'img/markers/OCHA/camp_idp_refugee_camp_40px.png'},{'prop':'poi_type_id','cat':'Cluster CCCM','externalGraphic':'img/markers/OCHA/cluster_CCCM_40px.png'},{'prop':'poi_type_id','cat':'Cluster Early Recovery','externalGraphic':'img/markers/OCHA/cluster_early_recovery_40px.png'},{'prop':'poi_type_id','cat':'Cluster Emergency Telecommunications','externalGraphic':'img/markers/OCHA/cluster_emergency_telecommunications_40px.png'},{'prop':'poi_type_id','cat':'Cluster Food Security','externalGraphic':'img/markers/OCHA/cluster_food_security_40px.png'},{'prop':'poi_type_id','cat':'Cluster Health','externalGraphic':'img/markers/OCHA/cluster_health_40px.png'},{'prop':'poi_type_id','cat':'Cluster Logistics','externalGraphic':'img/markers/OCHA/cluster_logistics_40px.png'},{'prop':'poi_type_id','cat':'Cluster Shelter','externalGraphic':'img/markers/OCHA/cluster_shelter_40px.png'},{'prop':'poi_type_id','cat':'Cluster WASH','externalGraphic':'img/markers/OCHA/cluster_WASH_40px.png'},{'prop':'poi_type_id','cat':'Crisis Conflict','externalGraphic':'img/markers/OCHA/crisis_conflict_40px.png'},{'prop':'poi_type_id','cat':'Disaster Cyclone','externalGraphic':'img/markers/OCHA/disaster_cyclone_40px.png'},{'prop':'poi_type_id','cat':'Disaster Earthquake','externalGraphic':'img/markers/OCHA/disaster_earthquake_40px.png'},{'prop':'poi_type_id','cat':'Disaster Epidemic','externalGraphic':'img/markers/OCHA/disaster_epidemic_40px.png'},{'prop':'poi_type_id','cat':'Disaster Fire','externalGraphic':'img/markers/OCHA/disaster_fire_40px.png'},{'prop':'poi_type_id','cat':'Disaster Flood','externalGraphic':'img/markers/OCHA/disaster_flood_40px.png'},{'prop':'poi_type_id','cat':'Disaster Heavy Rain','externalGraphic':'img/markers/OCHA/disaster_heavy_rain_40px.png'},{'prop':'poi_type_id','cat':'Disaster Landslide','externalGraphic':'img/markers/OCHA/disaster_landslide_40px.png'},{'prop':'poi_type_id','cat':'Disaster Storm','externalGraphic':'img/markers/OCHA/disaster_storm_40px.png'},{'prop':'poi_type_id','cat':'Disaster Tornado','externalGraphic':'img/markers/OCHA/disaster_tornado_40px.png'},{'prop':'poi_type_id','cat':'Disaster Tsunami','externalGraphic':'img/markers/OCHA/disaster_tsunami_40px.png'},{'prop':'poi_type_id','cat':'Disaster Volcano','externalGraphic':'img/markers/OCHA/disaster_volcano_40px.png'},{'prop':'poi_type_id','cat':'Food NFI Bucket','externalGraphic':'img/markers/OCHA/food_NFI_bucket_40px.png'},{'prop':'poi_type_id','cat':'Food NFI Food','externalGraphic':'img/markers/OCHA/food_NFI_food_40px.png'},{'prop':'poi_type_id','cat':'Food NFI Nonfood Item','externalGraphic':'img/markers/OCHA/food_NFI_nonfood_item_40px.png'},{'prop':'poi_type_id','cat':'Food NFI Tent','externalGraphic':'img/markers/OCHA/food_NFI_tent_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Building','externalGraphic':'img/markers/OCHA/infrastructure_building_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Church','externalGraphic':'img/markers/OCHA/infrastructure_church_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Community Building','externalGraphic':'img/markers/OCHA/infrastructure_community_building_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Government Office','externalGraphic':'img/markers/OCHA/infrastructure_government_office_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Hospital','externalGraphic':'img/markers/OCHA/infrastructure_hospital_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Hotel','externalGraphic':'img/markers/OCHA/infrastructure_hotel_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure House','externalGraphic':'img/markers/OCHA/infrastructure_house_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure NGO Office','externalGraphic':'img/markers/OCHA/infrastructure_NGO_office_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure Police Station','externalGraphic':'img/markers/OCHA/infrastructure_police_station_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure School','externalGraphic':'img/markers/OCHA/infrastructure_school_40px.png'},{'prop':'poi_type_id','cat':'Infrastructure University','externalGraphic':'img/markers/OCHA/infrastructure_university_40px.png'},{'prop':'poi_type_id','cat':'Logistics Airport','externalGraphic':'img/markers/OCHA/logistics_airport_40px.png'},{'prop':'poi_type_id','cat':'Logistics Airport Military','externalGraphic':'img/markers/OCHA/logistics_airport_military_40px.png'},{'prop':'poi_type_id','cat':'Logistics Boat','externalGraphic':'img/markers/OCHA/logistics_boat_40px.png'},{'prop':'poi_type_id','cat':'Logistics Bridge','externalGraphic':'img/markers/OCHA/logistics_bridge_40px.png'},{'prop':'poi_type_id','cat':'Logistics Bus','externalGraphic':'img/markers/OCHA/logistics_bus_40px.png'},{'prop':'poi_type_id','cat':'Logistics Car','externalGraphic':'img/markers/OCHA/logistics_car_40px.png'},{'prop':'poi_type_id','cat':'Logistics Ferry','externalGraphic':'img/markers/OCHA/logistics_ferry_40px.png'},{'prop':'poi_type_id','cat':'Logistics Gas Station','externalGraphic':'img/markers/OCHA/logistics_gas_station_40px.png'},{'prop':'poi_type_id','cat':'Logistics Helipad','externalGraphic':'img/markers/OCHA/logistics_helipad_40px.png'},{'prop':'poi_type_id','cat':'Logistics Port','externalGraphic':'img/markers/OCHA/logistics_port_40px.png'},{'prop':'poi_type_id','cat':'Logistics Ship','externalGraphic':'img/markers/OCHA/logistics_ship_40px.png'},{'prop':'poi_type_id','cat':'Logistics Train','externalGraphic':'img/markers/OCHA/logistics_train_40px.png'},{'prop':'poi_type_id','cat':'Logistics Truck','externalGraphic':'img/markers/OCHA/logistics_truck_40px.png'},{'prop':'poi_type_id','cat':'Logistics Tunnel','externalGraphic':'img/markers/OCHA/logistics_tunnel_40px.png'},{'prop':'poi_type_id','cat':'Other Cluster Rule Of Law','externalGraphic':'img/markers/OCHA/other_cluster_rule_of_law_40px.png'},{'prop':'poi_type_id','cat':'Other Cluster Safety Security','externalGraphic':'img/markers/OCHA/other_cluster_safety_security_40px.png'},{'prop':'poi_type_id','cat':'People Infant','externalGraphic':'img/markers/OCHA/people_infant_40px.png'},{'prop':'poi_type_id','cat':'People Man','externalGraphic':'img/markers/OCHA/people_man_40px.png'},{'prop':'poi_type_id','cat':'People Physical Impairments','externalGraphic':'img/markers/OCHA/people_physical_impairments_40px.png'},{'prop':'poi_type_id','cat':'People Woman','externalGraphic':'img/markers/OCHA/people_woman_40px.png'},{'prop':'poi_type_id','cat':'Product Type Report','externalGraphic':'img/markers/OCHA/product_type_report_40px.png'},{'prop':'poi_type_id','cat':'Security Arrest','externalGraphic':'img/markers/OCHA/security_arrest_40px.png'},{'prop':'poi_type_id','cat':'Security Dangerous Area','externalGraphic':'img/markers/OCHA/security_dangerous_area_40px.png'},{'prop':'poi_type_id','cat':'Security Mine','externalGraphic':'img/markers/OCHA/security_mine_40px.png'},{'prop':'poi_type_id','cat':'Telecommunications Mobile Phone','externalGraphic':'img/markers/OCHA/telecommunications_mobile_phone_40px.png'},{'prop':'poi_type_id','cat':'WASH Borehole','externalGraphic':'img/markers/OCHA/wash_borehole_40px.png'},{'prop':'poi_type_id','cat':'WASH Communal Latrine','externalGraphic':'img/markers/OCHA/wash_communal_latrine_40px.png'},{'prop':'poi_type_id','cat':'WASH Latrine Cabin','externalGraphic':'img/markers/OCHA/wash_latrine_cabin_40px.png'},{'prop':'poi_type_id','cat':'WASH Potable Water','externalGraphic':'img/markers/OCHA/wash_potable_water_40px.png'},{'prop':'poi_type_id','cat':'WASH Potable Water Source','externalGraphic':'img/markers/OCHA/wash_potable_water_source_40px.png'},{'prop':'poi_type_id','cat':'WASH Sanitation','externalGraphic':'img/markers/OCHA/wash_sanitation_40px.png'},{'prop':'poi_type_id','cat':'WASH Shower','externalGraphic':'img/markers/OCHA/wash_shower_40px.png'},{'prop':'poi_type_id','cat':'WASH Solid Waste','externalGraphic':'img/markers/OCHA/wash_solid_waste_40px.png'},{'prop':'poi_type_id','cat':'WASH Spring Water','externalGraphic':'img/markers/OCHA/wash_spring_water_40px.png'},{'prop':'poi_type_id','cat':'WASH Toilet','externalGraphic':'img/markers/OCHA/wash_toilet_40px.png'},{'prop':'poi_type_id','cat':'WASH Water Source','externalGraphic':'img/markers/OCHA/wash_water_source_40px.png'},{'prop':'poi_type_id','cat':'WASH Water Trucking','externalGraphic':'img/markers/OCHA/wash_water_trucking_40px.png'},{'prop':'poi_type_id','cat':'WASH Well','externalGraphic':'img/markers/OCHA/wash_well_40px.png'}]",,,False
Projects,,project,location,US,project,,Project,"name,location_id,multi_activity_type_id",,,,,,False,
Requests,All Open Requests,req,req,US,request,"Navaid, Red",Request,"req_ref,site_id",~.fulfil_status__ne=2,True,,,,False,
Seaports,All Active Seaports,transport,seaport,US,port,Marina,Seaport,name,~.obsolete=False,,,,,False,
Shelters,All Active Shelters,cr,shelter,US,shelter,Campground,Shelter,"name,population,capacity_day",~.status__ne=1,,,,,False,
Staff,All Active Staff,hrm,staff,US,staff,"Contact, Dreadlocks",Staff,"person_id,job_title_id,organisation_id",~.status=1,,True,,,False,
Stock Items,Used for Search Results,inv,inv_item,US,,,Stock Item,"item_id,site_id,quantity,item_pack_id,expiry_date",,,,,,False,False
Training Events,Used for Search Results,hrm,training_event,US,,,Training Event,"course_id,site_id,start_date",,,,,,False,False
Vehicles,,vehicle,vehicle,US,vehicle,Car,Vehicle,"number,person_id",asset.type=1,,True,,,False,
Volunteers,All Active Volunteers,vol,volunteer,US,volunteer,"Contact, Dreadlocks",Volunteer,"person_id,organisation_id",~.status=1,,True,,,False,
Warehouses,All Active Warehouses,inv,warehouse,US,warehouse,Building,Office,"name,organisation_id",~.obsolete=False,,,,,False,
