Sex,First Name,Last Name,Email,Organisation,Job Title,Type,Deployable
Ms.,Jill,Dando,crossroads@aidiq.com,Crossroads Division,Divisional Leadership,Staff,True
Mr.,John,Martins,nwohio@aidiq.com,Northwest Ohio Region,Regional Leadership,Staff,True
Mr.,Jacob,Smith,jacob.smith@salvationarmy.org,Salvation Army,Driver,Staff,True
Mr.,Noah,Johnson,noah.johnson@sbc.net,Southern Baptists,Driver,Staff,True
Mr.,Ethan,Williams,ethan.williams@redcross.org,Hancock County,Logistician,Staff,True
Mr.,Logan,Jones,logan.jones@redcross.org,American Red Cross of Northwest Ohio,Logistician,Staff,True
Mr.,William,Brown,william.brown@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mr.,Aiden,Davis,aiden.davis@redcross.org,West Central Ohio,,Staff,True
Mr.,Michael,Miller,michael.miller@salvationarmy.org,Salvation Army,Cook,Staff,True
Mr.,Andrew,Wilson,andrew.wilson@sbc.net,Southern Baptists,Cook,Staff,True
Mr.,Alexander,Moore,alexander.moore@redcross.org,Hancock County,Manager,Staff,True
Mr.,James,Taylor,james.taylor@redcross.org,American Red Cross of Northwest Ohio,Manager,Staff,True
Mr.,Joseph,Anderson,joseph.anderson@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mr.,Benjamin,Thomas,benjamin.thomas@redcross.org,West Central Ohio,,Staff,True
Mr.,Joshua,Jackson,joshua.jackson@salvationarmy.org,Salvation Army,Driver,Staff,True
Mr.,Landon,White,landon.white@sbc.net,Southern Baptists,Driver,Staff,True
Mr.,Jackson,Harris,jackson.harris@redcross.org,Hancock County,Driver,Staff,True
Mr.,Mason,Martin,mason.martin@redcross.org,American Red Cross of Northwest Ohio,Driver,Staff,True
Mr.,Anthony,Thompson,anthony.thompson@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mr.,Gavin,Garcia,gavin.garcia@redcross.org,West Central Ohio,,Staff,True
Mr.,Tyler,Martinez,tyler.martinez@salvationarmy.org,Salvation Army,Cook,Staff,True
Mr.,Carter,Robinson,carter.robinson@sbc.net,Southern Baptists,Cook,Staff,True
Mr.,Jayden,Clark,jayden.clark@redcross.org,Hancock County,Chef,Staff,True
Ms.,Abigail,Bell,abigail.bell@redcross.org,American Red Cross of Northwest Ohio,Chef,Staff,True
Ms.,Chloe,Murphy,chloe.murphy@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Ms.,Ella,Bailey,ella.bailey@redcross.org,West Central Ohio,,Staff,True
Ms.,Alexis,Rivera,alexis.rivera@salvationarmy.org,Salvation Army,,Staff,True
Ms.,Emily,Cooper,emily.cooper@sbc.net,Southern Baptists,,Staff,True
Ms.,Elizabeth,Richardson,elizabeth.richardson@redcross.org,Hancock County,,Staff,True
Ms.,Lillian,Cox,lillian.cox@redcross.org,American Red Cross of Northwest Ohio,,Staff,True
Ms.,Grace,Howard,grace.howard@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mrs.,Natalie,Ward,natalie.ward@redcross.org,West Central Ohio,,Staff,True
Mrs.,Leah,Torres,leah.torres@salvationarmy.org,Salvation Army,,Staff,True
Mrs.,Taylor,Peterson,taylor.peterson@sbc.net,Southern Baptists,,Staff,True
Mrs.,Avery,Gray,avery.gray@redcross.org,Hancock County,,Staff,True
Mrs.,Lily,Ramirez,lily.ramirez@redcross.org,American Red Cross of Northwest Ohio,,Staff,True
Mrs.,Hannah,James,hannah.james@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mrs.,Riley,Watson,riley.watson@redcross.org,West Central Ohio,,Staff,True
Mrs.,Anna,Brooks,anna.brooks@salvationarmy.org,Salvation Army,,Staff,True
Mrs.,Brooklyn,Kelly,brooklyn.kelly@sbc.net,Southern Baptists,,Staff,True
Mr.,Elijah,Rodriguez,elijah.rodriguez@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mr.,Brayden,Lewis,brayden.lewis@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mr.,Owen,Lee,owen.lee@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mr.,Matthew,Walker,matthew.walker@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mr.,Evan,Hall,evan.hall@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mr.,Ryan,Allen,ryan.allen@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mr.,Nathan,Young,nathan.young@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mr.,Caleb,Hernandez,caleb.hernandez@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mr.,Samuel,King,samuel.king@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mr.,David,Wright,david.wright@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mr.,Lucas,Lopez,lucas.lopez@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mr.,Gabriel,Hill,gabriel.hill@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mr.,Christopher,Scott,christopher.scott@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mr.,Daniel,Green,daniel.green@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mr.,John,Adams,john.adams@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mr.,Nicholas,Baker,nicholas.baker@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mr.,Cameron,Gonzalez,cameron.gonzalez@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mr.,Liam,Nelson,liam.nelson@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mr.,Zachary,Carter,zachary.carter@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mr.,Austin,Mitchell,austin.mitchell@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mr.,Luke,Perez,luke.perez@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mr.,Wyatt,Roberts,wyatt.roberts@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mr.,Dylan,Turner,dylan.turner@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mr.,Carson,Phillips,carson.phillips@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mr.,Chase,Campbell,chase.campbell@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mr.,Hunter,Parker,hunter.parker@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mr.,Connor,Evans,connor.evans@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mr.,Christian,Edwards,christian.edwards@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mr.,Thomas,Collins,thomas.collins@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Ms.,Isabella,Stewart,isabella.stewart@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Ms.,Emma,Sanchez,emma.sanchez@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Ms.,Olivia,Morris,olivia.morris@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Ms.,Ava,Rogers,ava.rogers@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Ms.,Madison,Reed,madison.reed@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Ms.,Sophia,Cook,sophia.cook@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Ms.,Addison,Morgan,addison.morgan@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mrs.,Aubrey,Sanders,aubrey.sanders@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mrs.,Nevaeh,Price,nevaeh.price@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mrs.,Claire,Bennett,claire.bennett@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mrs.,Gabriella,Wood,gabriella.wood@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mrs.,Peyton,Barnes,peyton.barnes@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mrs.,Hailey,Ross,hailey.ross@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mrs.,Alyssa,Henderson,alyssa.henderson@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mrs.,Kaylee,Coleman,kaylee.coleman@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mrs.,Mia,Jenkins,mia.jenkins@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mrs.,Sarah,Perry,sarah.perry@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mrs.,Allison,Powell,allison.powell@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mrs.,Layla,Long,layla.long@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mrs.,Lauren,Patterson,lauren.patterson@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mrs.,Brooke,Hughes,brooke.hughes@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mrs.,Audrey,Flores,audrey.flores@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mrs.,Savannah,Wilson,savannah.wilson@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mrs.,Mackenzie,Moore,mackenzie.moore@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mrs.,Sydney,Taylor,sydney.taylor@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mrs.,Morgan,Anderson,morgan.anderson@gmail.com,Salvation Army,Volunteer,True,Volunteer,True
Mrs.,Madelyn,Torres,madelyn.torres@yahoo.com,Southern Baptists,Volunteer,True,Volunteer,True
Mrs.,Kylie,Peterson,kylie.peterson@hotmail.com,Hancock County,Volunteer,True,Volunteer,True
Mrs.,Payton,Gray,payton.gray@gmail.com,American Red Cross of Northwest Ohio,Volunteer,True,Volunteer,True
Mrs.,Autumn,Ramirez,autumn.ramirez@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,True,Volunteer,True
Mrs.,Julia,James,julia.james@hotmail.com,West Central Ohio,Volunteer,True,Volunteer,True
Mrs.,Paige,Cox,paige.cox@hotmail.com,Salvation Army,Volunteer,True,Volunteer,True
