"First Name","Last Name","Email","Password","Role","DelphiGroup"
"Frank","Bone","frank@lacity.org","eden","ADMIN",
"Joe","Bloggs","joe@example.com","eden","Public",
"Jeff","Wayne","jeff@example.com","eden","Public",
"Jim","Jones","jim@example.com","eden","Public",
"Jane","Doe","jane@example.com","eden","Public",
"Cecilia","Key","Cecilia.Key@example.com","eden","Public",
"Emerald","Potter","Emerald.Potter@example.com","eden","Public",
"Bethany","Poole","Bethany.Poole@example.com","eden","Public",
"Odette","Combs","Odette.Combs@example.com","eden","Public",
"Mia","Rivera","Mia.Rivera@example.com","eden","Public",
"Phyllis","Peck","Phyllis.Peck@example.com","eden","Public",
"Maile","Strickland","Maile.Strickland@example.com","eden","Public",
"Martena","Richards","Martena.Richards@example.com","eden","Public",
"Echo","Obrien","Echo.Obrien@example.com","eden","Public",
"Sandra","Mckay","Sandra.Mckay@example.com","eden","Public",
"Willow","Owens","Willow.Owens@example.com","eden","Public",
"Wanda","Mullen","Wanda.Mullen@example.com","eden","Public",
"Alana","Ellison","Alana.Ellison@example.com","eden","Public",
"Pascale","Snow","Pascale.Snow@example.com","eden","Public",
"Josephine","Wallace","Josephine.Wallace@example.com","eden","Public",
"Adrienne","Miller","Adrienne.Miller@example.com","eden","Public",
"Jasmine","Evans","Jasmine.Evans@example.com","eden","Public",
"Hilda","Levine","Hilda.Levine@example.com","eden","Public",
"Adena","Blankenship","Adena.Blankenship@example.com","eden","Public",
"Ora","Newton","Ora.Newton@example.com","eden","Public",
"Shelley","James","Shelley.James@example.com","eden","Public",
"Iliana","Hurley","Iliana.Hurley@example.com","eden","Public",
"Hedda","Aguirre","Hedda.Aguirre@example.com","eden","Public",
"Daryl","Mcleod","Daryl.Mcleod@example.com","eden","Public",
"Natalie","Bates","Natalie.Bates@example.com","eden","Public",
"Constance","Moon","Constance.Moon@example.com","eden","Public",
"Petra","Carrillo","Petra.Carrillo@example.com","eden","Public",
"Fiona","Reynolds","Fiona.Reynolds@example.com","eden","Public",
"Ivory","Avery","Ivory.Avery@example.com","eden","Public",
"Marcia","Stokes","Marcia.Stokes@example.com","eden","Public",
"Wynter","Miller","Wynter.Miller@example.com","eden","Public",
"Kerry","Harris","Kerry.Harris@example.com","eden","Public",
"Tara","Stafford","Tara.Stafford@example.com","eden","Public",
"Vanna","Tucker","Vanna.Tucker@example.com","eden","Public",
"Wendy","Moses","Wendy.Moses@example.com","eden","Public",
"Lilah","Roth","Lilah.Roth@example.com","eden","Public",
"Britanney","Webb","Britanney.Webb@example.com","eden","Public",
"Elaine","Jacobson","Elaine.Jacobson@example.com","eden","Public",
"Wynne","Justice","Wynne.Justice@example.com","eden","Public",
"Audra","Morin","Audra.Morin@example.com","eden","Public",
"Jonas","Fernandez","Jonas.Fernandez@example.com","eden","Public",
"Dennis","Farmer","Dennis.Farmer@example.com","eden","Public",
"Harlan","Mathis","Harlan.Mathis@example.com","eden","Public",
"Allistair","Simon","Allistair.Simon@example.com","eden","Public",
"Kirk","Murray","Kirk.Murray@example.com","eden","Public",
"Noble","Mack","Noble.Mack@example.com","eden","Public",
"Derek","Dean","Derek.Dean@example.com","eden","Public",
"Wade","Cole","Wade.Cole@example.com","eden","Public",
"Beau","Stephens","Beau.Stephens@example.com","eden","Public",
"Beau","Barnett","Beau.Barnett@example.com","eden","Public",
"Jerome","Nicholson","Jerome.Nicholson@example.com","eden","Public",
"Ryder","Moreno","Ryder.Moreno@example.com","eden","Public",
"Leo","Brady","Leo.Brady@example.com","eden","Public",
"Blake","Mcbride","Blake.Mcbride@example.com","eden","Public",
"Kennedy","Cole","Kennedy.Cole@example.com","eden","Public",
"Colby","Burgess","Colby.Burgess@example.com","eden","Public",
"Hu","Kinney","Hu.Kinney@example.com","eden","Public",
"George","Tillman","George.Tillman@example.com","eden","Public",
"Ashton","Holmes","Ashton.Holmes@example.com","eden","Public",
"Otto","Nichols","Otto.Nichols@example.com","eden","Public",
"Baxter","Jarvis","Baxter.Jarvis@example.com","eden","Public",
"Colby","Hall","Colby.Hall@example.com","eden","Public",
"Nash","Chen","Nash.Chen@example.com","eden","Public",
"Kasper","Ross","Kasper.Ross@example.com","eden","Public",
"Alvin","Myers","Alvin.Myers@example.com","eden","Public",
"Ryan","Marsh","Ryan.Marsh@example.com","eden","Public",
"Elmo","Nolan","Elmo.Nolan@example.com","eden","Public",
"Christopher","Warner","Christopher.Warner@example.com","eden","Public",
"Plato","Fry","Plato.Fry@example.com","eden","Public",
"Jerry","Good","Jerry.Good@example.com","eden","Public",
"Jamal","Pugh","Jamal.Pugh@example.com","eden","Public",
"Hu","Wilkerson","Hu.Wilkerson@example.com","eden","Public",
"Curran","Spencer","Curran.Spencer@example.com","eden","Public",
"Stewart","Fuentes","Stewart.Fuentes@example.com","eden","Public",
"Drake","Mercer","Drake.Mercer@example.com","eden","Public",
"Yoshio","Hartman","Yoshio.Hartman@example.com","eden","Public",
"Baxter","Cotton","Baxter.Cotton@example.com","eden","Public",
"Porter","Rosa","Porter.Rosa@example.com","eden","Public",
"Gabriel","Gibson","Gabriel.Gibson@example.com","eden","Public",
"Kevin","Hess","Kevin.Hess@example.com","eden","Public",
