Organisation,Acronym,Type,Website,Domain,Sectors
Access Aid International ,AAI,International NGO,http://www.aai.org.au,aai.org.au,Health
Action Aid,,International NGO,http://www.actionaid.org,actionaid.org,Food
Action Comtre la Faim,ACF,International NGO,http://www.actioncontrelafaim.org,actioncontrelafaim.org,"Food,Nutrition,Health,WASH"
Adventist Development and Relief Agency,ADRA,International NGO,https://adra.org,adra.org,"Food,Health,Shelter,WASH"
Agency for Technical Cooperation and Development,ACTED,International NGO,http://www.acted.org,acted.org,"CCCM,Education,Food,Nutrition,Shelter,WASH"
All Hands Volunteers,,International NGO,http://hands.org,hands.org,Shelter
American Refugee Committee ,ARC,International NGO,http://www.arcrelief.org,arcrelief.org,Shelter
AmeriCares,,International NGO,http://www.americares.org,americares.org,Health
Amity Volunteer Fire Brigade,,National NGO,https://www.facebook.com/amityfire,,Health
Arbeiter-Samariter-Bund,ASB,International NGO,https://www.asb.de,asb.de,Health
arche noVa,,International NGO,https://arche-nova.org,arche-nova.org,WASH
Assistência Médica Internacional ,AMI,International NGO,http://www.ami.org.pt,ami.org.pt,Health
Australian Field Hospital,,Government,,,Health
Australian Team,,Government,,,Health
B-FAST,,Government,http://b-fast.be,b-fast.be,Health
Bradford United Church of Christ ,BUCC,National NGO,http://bradfordchurchcebu.org,bradfordchurchcebu.org,Food
Cambert Pilipinas,,Business,http://cambert.ph,cambert.ph,Health
CARE,,International NGO,http://www.care.org,care.org,"Food,Shelter"
Caritas,,International NGO,http://www.caritas.org,caritas.org,"Food,WASH"
Catholic Bishops' Conference of the Philippines,CBCP,National NGO,http://cbcpwebsite.com,,Shelter
Catholic Relief Services,CRS,International NGO,http://www.crs.org,crs.org,"Food,Shelter,WASH"
Cebu Water International,,National NGO,,,WASH
ChildFund,,International NGO,https://www.childfund.org,childfund.org,"CCCM,Food,Nutrition,Protection,Shelter,WASH"
Children International,,International NGO,https://www.children.org,children.org,Food
Chinese Navy,,Military,,,Health
Christian Aid,,International NGO,,,"Food,Shelter"
Church World Service,CWS,International NGO,http://www.cwsglobal.org,cwsglobal.org,"Food,Shelter"
Citizens' Disaster Response Center,CDRC,National NGO,http://www.cdrc-phil.com,cdrc-phil.com,Shelter
Community and Family Services International ,CFSI,National NGO,http://www.cfsi.ph,cfsi.ph,"CCCM,Protection"
Concern,,International NGO,https://www.concern.net,concern.net,Shelter
Consortium Vaccination Campaign ,CVC,,,,
Convoy of Hope,,International NGO,http://www.convoyofhope.org,convoyofhope.org,Food
Department for International Development ,DFID,Bilateral,https://www.gov.uk/government/organisations/department-for-international-development,,Shelter
Department of Education,DoE,Government,,,CCCM
Department of Health,DoH,Government,,,"Health,Nutrition,WASH"
Department of Social Welfare and Development,DSWD,Government,,,"CCCM,Food,Protection"
Diamond Laboratories Inc.,,Business,http://diamondlab.com.ph,diamondlab.com.ph,Health
