Organisation,Acronym,Type,Website,Domain,Sectors
Access Aid International ,AAI,International NGO,http://www.aai.org.au,aai.org.au,Health
Action Aid,,International NGO,http://www.actionaid.org,actionaid.org,Food
Action Comtre la Faim,ACF,International NGO,http://www.actioncontrelafaim.org,actioncontrelafaim.org,"Food,Nutrition,Health,WASH"
Adventist Development and Relief Agency,ADRA,International NGO,https://adra.org,adra.org,"Food,Health,Shelter,WASH"
Agency for Technical Cooperation and Development,ACTED,International NGO,http://www.acted.org,acted.org,"CCCM,Education,Food,Nutrition,Shelter,WASH"
All Hands Volunteers,,International NGO,http://hands.org,hands.org,Shelter
American Refugee Committee ,ARC,International NGO,http://www.arcrelief.org,arcrelief.org,Shelter
AmeriCares,,International NGO,http://www.americares.org,americares.org,Health
Amity Volunteer Fire Brigade,,National NGO,https://www.facebook.com/amityfire,,
Assistência Médica Internacional ,AMI,International NGO,http://www.ami.org.pt,ami.org.pt,Health
CARE,,International NGO,http://www.care.org,care.org,
Caritas,,International NGO,http://www.caritas.org,caritas.org,
ChildFund,,International NGO,https://www.childfund.org,childfund.org,
Children International,,International NGO,https://www.children.org,children.org,
Christian Aid,,International NGO,,,
Citizens' Disaster Response Center,CDRC,National NGO,http://www.cdrc-phil.com,cdrc-phil.com,Shelter
Department of Health,DoH,Government,,,
Department of Social Welfare and Development,DSWD,Government,,,
Disaster Assistance Response Team,DART,Government,http://www.forces.gc.ca/en/operations-abroad-recurring/dart.page,,
GOAL,,International NGO,https://www.goalglobal.org,,
Handicap International,HI,International NGO,http://www.handicap-international.org,handicap-international.org,
HMS Daring,,Government,,,
Humanitarian OpenStreetMap Team,HOT,International NGO,http://hot.openstreetmap.org,hot.openstreetmap.org,
Humanity First,HUMFIRST,International NGO,http://humanityfirst.ca,humanityfirst.ca,
International Medical Corps,IMC,International NGO,https://internationalmedicalcorps.org,internationalmedicalcorps.org,
International Open Source Network ASEAN+3,IOSN,International NGO,http://www.iosnasean.net,iosnasean.net,
International Organisation for Migration,IOM,UN,http://www.iom.int,iom.int,
International Rescue Committee,IRC,International NGO,http://www.rescue.org,rescue.org,
Japan Heart,,International NGO,http://www.japanheart.org,japanheart.org,
LDS Charities,,International NGO,https://ldscharities.org,ldscharities.org,
Life for Relief and Development,,International NGO,http://www.lifeusa.org,lifeusa.org,
Maynilad,,Private,http://www.mayniladwater.com.ph,mayniladwater.com.ph,
Médecins Sans Frontières,MSF,International NGO,http://www.msf.org,msf.org,
National Telehealth Center,,National NGO,http://one.telehealth.ph,telehealth.ph,
NetHope,,International NGO,http://nethope.org,nethope.org,
Office of Municipal Agriculturist,,Government,,,
Oxfam,,International NGO,http://www.oxfam.org.uk,oxfam.org.uk,
Philippine Red Cross,PRC,Red Cross / Red Crescent,http://www.redcross.org.ph,redcross.org.ph,
Project Iloilo,,National NGO,,,
Provincial Health Office,,Government,,,
Provincial Relief Aid for Yolanda,PRAY,National NGO,,,
Remote Area Medical Volunteer Corps,RAM,International NGO,http://ramusa.org,ramusa.org,
Sahana Software Foundation,SSF,International NGO,http://sahanafoundation.org,sahanafoundation.org,
Save the Children,SCI,International NGO,https://www.savethechildren.net,savethechildren.net,
Spanish Agency for International Cooperation and Development ,AECID,Bilateral,http://www.aecid.es,aecid.es,Health
Swiss Interchurch Aid,HEKS,International NGO,https://www.heks.ch,heks.ch,
Task Force Mapalad,TFM,National NGO,http://taskforcemapalad.org,taskforcemapalad.org,
The National Confederation of Cooperatives,NATCCO,National NGO,http://www.natcco.coop,natcco.coop,
United Nations High Commission for Refugees,UNHCR,UN,http://www.unhcr.org,unhcr.org,
United Nations Children's Fund,UNICEF,UN,http://www.unicef.org,unicef.org,
United Sikhs Aid,,International NGO,http://www.unitedsikhs.org/sikhaid/,unitedsikhs.org,
Welthungerhilfe,WHH,International NGO,http://www.welthungerhilfe.de,welthungerhilfe.de,
World Food Programme,WFP,UN,http://www.wfp.org,wfp.org,
World Vision International,WVI,International NGO,http://www.worldvision.org,worldvision.org,
