"Course","Organisation","Facility","Start","End","Hours","Sex","First Name","Last Name","Email"
"Basics of First Aid","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-02","2012-01-03",16,"Ms.","Beatriz","de Carvalho","beatriz.decarvalho@redcross.tl"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Ainaro Branch Office","2012-01-23","2012-01-23",4,"Ms.","Beatriz","de Carvalho","beatriz.decarvalho@redcross.tl"
"Basics of First Aid","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-05","2012-01-06",16,"Mr.","Yakobus","Sereno","yakobus.serena@redcross.tl"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Lospalos Branch Office","2012-01-30","2012-01-30",4,"Mr.","Yakobus","Sereno","yakobus.serena@redcross.tl"
"Basics of First Aid","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-01-09","2012-01-10",16,"Ms.","Liliana","Otilia","liliana.otilia@redcross.tl"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Manatuto Branch Office","2012-02-06","2012-02-06",4,"Ms.","Liliana","Otilia","liliana.otilia@redcross.tl"
"Basics of First Aid","Timor-Leste Red Cross Society","Same Branch Office","2012-01-12","2012-01-13",16,"Mr.","Eduardo","dos Santos","eduardo.dossantos@redcross.tl"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Same Branch Office","2012-02-13","2012-02-13",4,"Mr.","Eduardo","dos Santos","eduardo.dossantos@redcross.tl"
"Basics of First Aid","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-02","2012-02-02",16,"Ms.","Margarida","Martins","margarida.martins@redcross.tl"
"Introduction to Community Based Health and First Aid (CBHFA)","Timor-Leste Red Cross Society","Viqueque Branch Office","2012-02-20","2012-02-20",4,"Ms.","Margarida","Martins","margarida.martins@redcross.tl"
