"Sex","First Name","Last Name","Type","Email","Mobile Phone","Organisation","Branch","Office Phone","Office","Title","Home Address","Home Country","Home L1","Home L2","Home L3","Home Lat","Home Lon"
"Mr.","William","Ware","Staff","william.ware@salvationarmy.org",-6513,"Salvation Army","Salvation Army of Greater New York",-12160,"Salvation Army Donation Center Office",,,"United States","New York","Queens",,40.72738926,-73.76813862
"Ms.","Torri","Hess","Staff","torri.hess@nyredcross.org",-7227,"American Red Cross","American Red Cross of Greater New York",-11706,"American Red Cross Greater New York Office",,,"United States","New York","Bronx",,40.8340355,-73.86411983
"Ms.","Sari","Meza","Staff","sari.meza@goodwill.org",-18485,"Goodwill Industries","Greater New York",-13382,"Goodwill Industries Greater New York Office",,,"United States","New York","Brooklyn",,40.64974265,-73.93338253
"Mr.","Deandre","Griffin","Staff","deandre.griffin@foodbanknyc.org",-7853,"Food Bank for New York City",,-5520,"Food Bank for New York City Office",,,"United States","New York","Brooklyn",,40.61795387,-73.96782427
"Ms.","Vonda","George","Staff","vonda.george@us.tzuchi.org",-11014,"Buddist Tzu Chi Foundation",,-3814,"Buddist Tzu Chi Foundation Office",,,"United States","New York","Brooklyn",,40.60053289,-73.95229007
"Ms.","Eufemia","Hodges","Staff","eufemia.hodges@teamrubiconusa.org",-11953,"Team Rubicon",,-15106,,,,"United States","New York","Brooklyn",,40.61644397,-73.95013644
"Ms.","Edda","Barker","Staff","edda.barker@safehorizon.org",-12916,"Safe Horizon",,-16687,"Safe Horizon Office",,,"United States","New York","Bronx",,40.82558036,-73.90460282
"Ms.","Wendolyn","Conway","Staff","wendolyn.conway@newyorkcares.org",-9029,"New York Cares",,-17336,"New York Cares Office",,,"United States","New York","Brooklyn",,40.59807021,-73.96079576
"Mr.","Octavio","Salinas","Staff","octavio.salinas@worldcares.org",-12313,"World Cares Center",,-18053,"World Cares Center Office",,,"United States","New York","Queens",,40.6671398,-73.68997588
"Mr.","Derek","Gordon","Staff","derek.gordon@worldvision.org",-8707,"World Vision","New York",-9528,"World Vision New York Office",,,"United States","New York","New York",,40.75009976,-73.97813805
"Mr.","Leopoldo","Parker","Staff","leopoldo.parker@salvationarmy.org",-8866,"Salvation Army","Salvation Army of Greater New York",-10093,"Salvation Army Donation Center Office",,,"United States","New York","Bronx",,40.8244234,-73.87196226
"Mr.","Tracy","Petty","Staff","tracy.petty@nyredcross.org",-17158,"American Red Cross","American Red Cross of Greater New York",-12100,"American Red Cross Greater New York Office",,,"United States","New York","Brooklyn",,40.67674164,-73.96904909
"Mr.","Elliot","Hardin","Staff","elliot.hardin@goodwill.org",-8819,"Goodwill Industries","Greater New York",-5812,"Goodwill Industries Greater New York Office",,,"United States","New York","Bronx",,40.85155295,-73.91666303
"Ms.","Queenie","Stafford","Staff","queenie.stafford@foodbanknyc.org",-12042,"Food Bank for New York City",,-8869,"Food Bank for New York City Office",,,"United States","New York","Brooklyn",,40.66241189,-73.96887062
"Ms.","Alesia","Willis","Staff","alesia.willis@us.tzuchi.org",-1292,"Buddist Tzu Chi Foundation",,-5775,"Buddist Tzu Chi Foundation Office",,,"United States","New York","New York",,40.7469558,-73.98364554
