Sex,First Name,Last Name,Email,Organisation,Job Title,Type,Deployable
Ms.,Jill,Dando,crossroads@aidiq.com,Crossroads Division,Divisional Leadership,Staff,True
Mr.,John,Martins,nwohio@aidiq.com,Northwest Ohio Region,Regional Leadership,Staff,True
Mr.,Jacob,Smith,jacob.smith@salvationarmy.org,Salvation Army,Driver,Staff,True
Mr.,Noah,Johnson,noah.johnson@sbc.net,Southern Baptists,Driver,Staff,True
Mr.,Ethan,Williams,ethan.williams@redcross.org,Hancock County,Logistician,Staff,True
Mr.,Logan,Jones,logan.jones@redcross.org,American Red Cross of Northwest Ohio,Logistician,Staff,True
Mr.,William,Brown,william.brown@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mr.,Aiden,Davis,aiden.davis@redcross.org,West Central Ohio,,Staff,True
Mr.,Michael,Miller,michael.miller@salvationarmy.org,Salvation Army,Cook,Staff,True
Mr.,Andrew,Wilson,andrew.wilson@sbc.net,Southern Baptists,Cook,Staff,True
Mr.,Alexander,Moore,alexander.moore@redcross.org,Hancock County,Manager,Staff,True
Mr.,James,Taylor,james.taylor@redcross.org,American Red Cross of Northwest Ohio,Manager,Staff,True
Mr.,Joseph,Anderson,joseph.anderson@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mr.,Benjamin,Thomas,benjamin.thomas@redcross.org,West Central Ohio,,Staff,True
Mr.,Joshua,Jackson,joshua.jackson@salvationarmy.org,Salvation Army,Driver,Staff,True
Mr.,Landon,White,landon.white@sbc.net,Southern Baptists,Driver,Staff,True
Mr.,Jackson,Harris,jackson.harris@redcross.org,Hancock County,Driver,Staff,True
Mr.,Mason,Martin,mason.martin@redcross.org,American Red Cross of Northwest Ohio,Driver,Staff,True
Mr.,Anthony,Thompson,anthony.thompson@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mr.,Gavin,Garcia,gavin.garcia@redcross.org,West Central Ohio,,Staff,True
Mr.,Tyler,Martinez,tyler.martinez@salvationarmy.org,Salvation Army,Cook,Staff,True
Mr.,Carter,Robinson,carter.robinson@sbc.net,Southern Baptists,Cook,Staff,True
Mr.,Jayden,Clark,jayden.clark@redcross.org,Hancock County,Chef,Staff,True
Ms.,Abigail,Bell,abigail.bell@redcross.org,American Red Cross of Northwest Ohio,Chef,Staff,True
Ms.,Chloe,Murphy,chloe.murphy@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Ms.,Ella,Bailey,ella.bailey@redcross.org,West Central Ohio,,Staff,True
Ms.,Alexis,Rivera,alexis.rivera@salvationarmy.org,Salvation Army,,Staff,True
Ms.,Emily,Cooper,emily.cooper@sbc.net,Southern Baptists,,Staff,True
Ms.,Elizabeth,Richardson,elizabeth.richardson@redcross.org,Hancock County,,Staff,True
Ms.,Lillian,Cox,lillian.cox@redcross.org,American Red Cross of Northwest Ohio,,Staff,True
Ms.,Grace,Howard,grace.howard@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mrs.,Natalie,Ward,natalie.ward@redcross.org,West Central Ohio,,Staff,True
Mrs.,Leah,Torres,leah.torres@salvationarmy.org,Salvation Army,,Staff,True
Mrs.,Taylor,Peterson,taylor.peterson@sbc.net,Southern Baptists,,Staff,True
Mrs.,Avery,Gray,avery.gray@redcross.org,Hancock County,,Staff,True
Mrs.,Lily,Ramirez,lily.ramirez@redcross.org,American Red Cross of Northwest Ohio,,Staff,True
Mrs.,Hannah,James,hannah.james@redcross.org,American Red Cross of Northeast Indiana,,Staff,True
Mrs.,Riley,Watson,riley.watson@redcross.org,West Central Ohio,,Staff,True
Mrs.,Anna,Brooks,anna.brooks@salvationarmy.org,Salvation Army,,Staff,True
Mrs.,Brooklyn,Kelly,brooklyn.kelly@sbc.net,Southern Baptists,,Staff,True
Mr.,Elijah,Rodriguez,elijah.rodriguez@gmail.com,Salvation Army,Volunteer,Volunteer,
Mr.,Owen,Lee,owen.lee@hotmail.com,Hancock County,Volunteer,Volunteer,
Mr.,Matthew,Walker,matthew.walker@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mr.,Evan,Hall,evan.hall@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mr.,Ryan,Allen,ryan.allen@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mr.,Nathan,Young,nathan.young@gmail.com,Salvation Army,Volunteer,Volunteer,
Mr.,Samuel,King,samuel.king@hotmail.com,Hancock County,Volunteer,Volunteer,
Mr.,David,Wright,david.wright@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mr.,Lucas,Lopez,lucas.lopez@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mr.,Gabriel,Hill,gabriel.hill@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mr.,Christopher,Scott,christopher.scott@gmail.com,Salvation Army,Volunteer,Volunteer,
Mr.,John,Adams,john.adams@hotmail.com,Hancock County,Volunteer,Volunteer,
Mr.,Nicholas,Baker,nicholas.baker@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mr.,Cameron,Gonzalez,cameron.gonzalez@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mr.,Liam,Nelson,liam.nelson@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mr.,Zachary,Carter,zachary.carter@gmail.com,Salvation Army,Volunteer,Volunteer,
Mr.,Luke,Perez,luke.perez@hotmail.com,Hancock County,Volunteer,Volunteer,
Mr.,Wyatt,Roberts,wyatt.roberts@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mr.,Dylan,Turner,dylan.turner@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mr.,Carson,Phillips,carson.phillips@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mr.,Chase,Campbell,chase.campbell@gmail.com,Salvation Army,Volunteer,Volunteer,
Mr.,Connor,Evans,connor.evans@hotmail.com,Hancock County,Volunteer,Volunteer,
Mr.,Christian,Edwards,christian.edwards@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mr.,Thomas,Collins,thomas.collins@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Ms.,Isabella,Stewart,isabella.stewart@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Ms.,Emma,Sanchez,emma.sanchez@gmail.com,Salvation Army,Volunteer,Volunteer,
Ms.,Ava,Rogers,ava.rogers@hotmail.com,Hancock County,Volunteer,Volunteer,
Ms.,Madison,Reed,madison.reed@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Ms.,Sophia,Cook,sophia.cook@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Ms.,Addison,Morgan,addison.morgan@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mrs.,Aubrey,Sanders,aubrey.sanders@gmail.com,Salvation Army,Volunteer,Volunteer,
Mrs.,Claire,Bennett,claire.bennett@hotmail.com,Hancock County,Volunteer,Volunteer,
Mrs.,Gabriella,Wood,gabriella.wood@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mrs.,Peyton,Barnes,peyton.barnes@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mrs.,Hailey,Ross,hailey.ross@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mrs.,Alyssa,Henderson,alyssa.henderson@gmail.com,Salvation Army,Volunteer,Volunteer,
Mrs.,Mia,Jenkins,mia.jenkins@hotmail.com,Hancock County,Volunteer,Volunteer,
Mrs.,Sarah,Perry,sarah.perry@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mrs.,Allison,Powell,allison.powell@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mrs.,Layla,Long,layla.long@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mrs.,Lauren,Patterson,lauren.patterson@gmail.com,Salvation Army,Volunteer,Volunteer,
Mrs.,Audrey,Flores,audrey.flores@hotmail.com,Hancock County,Volunteer,Volunteer,
Mrs.,Savannah,Wilson,savannah.wilson@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mrs.,Mackenzie,Moore,mackenzie.moore@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mrs.,Sydney,Taylor,sydney.taylor@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mrs.,Morgan,Anderson,morgan.anderson@gmail.com,Salvation Army,Volunteer,Volunteer,
Mrs.,Kylie,Peterson,kylie.peterson@hotmail.com,Hancock County,Volunteer,Volunteer,
Mrs.,Payton,Gray,payton.gray@gmail.com,American Red Cross of Northwest Ohio,Volunteer,Volunteer,
Mrs.,Autumn,Ramirez,autumn.ramirez@yahoo.com,American Red Cross of Northeast Indiana,Volunteer,Volunteer,
Mrs.,Julia,James,julia.james@hotmail.com,West Central Ohio,Volunteer,Volunteer,
Mrs.,Paige,Cox,paige.cox@hotmail.com,Salvation Army,Volunteer,Volunteer,
