"Course","Organisation","Facility","Start","End","Hours","Sex","First Name","Last Name","Email"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Ada","Finn","user3@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Adam","Reichel","user4@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Charles","Robinson","user5@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Adrian","Johnson","user6@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Alex","Sabihon","user7@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Anupam","Sakai","user9@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Vanessa","Mazariegos","user10@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Vitalicia","Jose Galvez","user11@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Azalia","Rene Galvez","user12@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Susannah","Michela","user13@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Benjamin","Friese","user14@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Hans","Yanda","user15@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Billie","Behnke","user17@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Gerald","Turner","user18@culvercitycert.com"
"CERT Basic Training","Culver City CERT",,"4/6/12","4/28/12",,,"Jane","Judge","user19@culvercitycert.com"
