Name,Comments,Sector:Health,Sector:DRR,Sector:OD,Sector:WatSan,Notes
CBDRM ,,,Yes,,,
Climate Change Adaptation and Mitigation,,,Yes,,,
Early Warning Systems,,,Yes,,,
Gender and DM sensitisation guidelines,,,Yes,,,
Infrastructure Development,,,Yes,,,
Partnerships ,,,Yes,,,
Risk transfer mechanism ,,,Yes,,,
Urban Risk Management,,,Yes,,,
Blood donation and services,,Yes,,,,
"Communicable diseases (including emerging and re-emerging diseases, vaccine preventable diseases, HIV, TB)",,Yes,,,,
Community health,,Yes,,,,
Emergency health,,Yes,,,,
Epidemic preparedness/pandemic preparedness,,Yes,,,,
"Maternal, newborn and child health",,Yes,,,,
Medical services,,Yes,,,,
Non-communicable diseases,,Yes,,,,
Nutrition,,Yes,,,,
Psychosocial support,,Yes,,,,
Road safety,,Yes,,,,
School health,,Yes,,,,
Sexual and reproductive health,,Yes,,,,
Branch Capacity development ,,,,Yes,,
Communication capacity building,,,,Yes,,
Financial system development,,,,Yes,,
Gender sensitisation and guidelines,,,,Yes,,
Human Resource development ,,,,Yes,,
IT – Digital Divide,,,,Yes,,
Member base development,,,,Yes,,
PMER development,,,,Yes,,
Programme planning and management ,,,,Yes,,
"RM (fundraising, income generation, in-kind support, partnership)",,,,Yes,,
Social inclusion/ diversity/ violence prevention,,,,Yes,,
Volunteer and staff  Management or HR,,,,Yes,,
Youth Development,,,,Yes,,
Drainage,,,,,Yes,
Excreta Disposal,,,,,Yes,
Hygiene promotion,,,,,Yes,
Solid Waste Management,,,,,Yes,
Vector Control,,,,,Yes,
Water Supply,,,,,Yes,
Capacity Development,"training and development, institutional strengthening, institutional learning",,,,,DRR
Civil Society/NGOs,"civic action, collective community action, community-based organization (CBO) action, grassroots action, integrative DRR, non-governmental organization (NGO) action",,,,,
Climate Change,"adaptation to climate change, sustainable development",,,,,
Community-based DRR,"local knowledge, local risk mapping",,,,,
Complex Emergency,"multiple hazard crisis, humanitarian crisis, conflict",,,,,
Critical Infrastructure,"communications systems, health facilities, 'lifelines', power and energy, emergency evacuation shelters, financial infrastructure, schools, transportation, waste disposal, water supplies",,,,,
Disaster Risk Management,"civil protection, contingency and emergency planning, early recovery, preparedness",,,,,
Early Warning,"risk knowledge, monitoring and warning service, risk communication, response capability, disaster preparedness, risk modelling",,,,,
Economics of DRR,"cost benefit analysis, disaster risk financing, financial effects of disasters, poverty and disaster risk, risk sharing, socio-economic impacts of disasters",,,,,
Education & School Safety,"learning, safe schools",,,,,
Environment,"sustainable development, environmental degradation, ecosystems and environmental management",,,,,
Gender,"gendered vulnerability, gender-sensitive disaster risk management",,,,,
GIS & Mapping,"geographic information systems, hazard exposure mapping, vulnerability mapping, risk mapping",,,,,
Governance,"disaster risk reduction policy and legislation, National Platform for disaster risk reduction, Regional Platforms for disaster risk reduction",,,,,
Health & Health Facilities,"capacity of health practitioners, mental health",,,,,
Information Management,"disaster databases, disaster information, disaster risk information portals, ICT",,,,,
Media,"disaster reporting, disaster information dissemination",,,,,
Private-public Partnerships,"corporate social responsibility, private sector engagement in DRR",,,,,
Recovery,"building back better, long-term recovery and reconstruction, rehabilitation, shelter",,,,,
Risk Identification & Assessment,"risk assessment, loss data, disaster risk management",,,,,DRR
Risk Transfer & Insurance,"disaster insurance, contingency funding, micro-insurance, post-disaster loans, risk financing, risk insurance, risk sharing, pooling",,,,,
Social Impacts & Resilience,"coping capacity, loss absorption, loss acceptance, psychosocial support, social vulnerability, trauma prevention",,,,,
Structural Safety,"building codes, building standards, building materials, construction, retrofitting",,,,,
Urban Risk & Planning,"urban planning, urban management",,,,,
Vulnerable Populations,,,,,,
Water,"drinking water, freshwater, irrigation, potable water, water and sanitation, water resource management",HHH,EEE,LLL,PPP,
